events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
46.2,0.06926406926406926,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.3,0.0706401766004415,6.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.7,0.06708595387840671,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.4,0.06896551724137931,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.1,0.06941431670281996,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.6,0.06722689075630252,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
48.0,0.06666666666666667,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.5,0.07032967032967033,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
50.4,0.06349206349206349,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.5,0.07032967032967033,6.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,12.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.6,0.06722689075630252,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.8,0.06986899563318777,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
48.0,0.06666666666666667,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
28.3,0.05653710247349823,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
6.1,0.0,7.0,48.0,3.0,baseline_dev_20260801_183119,baseline
5.9,0.0,4.0,48.0,3.0,baseline_dev_20260801_183119,baseline
5.9,0.0,5.0,48.0,3.0,baseline_dev_20260801_183119,baseline
25.1,0.03187250996015936,20.0,84.0,5.0,baseline_dev_20260801_183119,baseline
9.3,0.0,8.0,48.0,3.0,baseline_dev_20260801_183119,baseline
5.3,0.0,5.0,48.0,3.0,baseline_dev_20260801_183119,baseline
6.0,0.0,6.0,48.0,3.0,baseline_dev_20260801_183119,baseline
7.5,0.013333333333333334,6.0,48.0,3.0,baseline_dev_20260801_183119,baseline
7.1,0.0,5.0,48.0,3.0,baseline_dev_20260801_183119,baseline
103.9,0.0028873917228103944,10.0,739.0,4.0,baseline_dev_20260801_183119,baseline
168.1,0.011302795954788817,14.0,1444.0,6.0,baseline_dev_20260801_183119,baseline
8.1,0.024691358024691357,7.0,48.0,5.0,baseline_dev_20260801_183119,baseline
84.0,0.02023809523809524,15.0,648.0,5.0,baseline_dev_20260801_183119,baseline
644.3,0.0001552072016141549,9.0,6298.0,3.0,baseline_dev_20260801_183119,baseline
50.7,0.0631163708086785,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
26.9,0.05947955390334572,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.6,0.06722689075630252,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,7.0,62.0,4.0,baseline_dev_20260801_183119,baseline
73.4,0.05040871934604905,18.0,133.0,4.0,baseline_dev_20260801_183119,baseline
47.4,0.06751054852320675,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
